Category,Date,Question,Notes,Answer,FAQ Ranking 1,FAQ Ranking 2,FAQ Ranking 3
General,3/3,Can you have more than one Final Expense Insurance Policy?,,">You are not limited to one final expense insurance policy. In fact, having more than one policy can be a good idea because you’ll be able to get greater coverage by default. 

>The catch is that you must also keep in mind that you should not exceed the benefits that you are capable of obtaining through your income. Policies have their own requirements related to your income level. As long as your benefits match what someone with your income level can afford, and as long as you pay your premiums, you have no limit on the number of policies you can join.

>Some have multiple policies to pay for specific needs. You may purchase a small final expense insurance policy to cover the cost of embalming and cremation, and another policy to cover the funeral service itself, and another for the sake of providing your beneficiaries with more funds. 

>If you wish to have more than one policy, it is easier to qualify the healthier you are. If you take good care of yourself and you’re not suffering from any serious medical condition (i.e., ALS or End-Stage Renal Disease), then you are more likely to have the ability to get more than one policy to begin with.",x,,
General,3/3,How much do the Final Expense Policy costs?,,">The cost of a final expense policy depends on many factors such as age, health, and the company you pick.

>The best way to find out is to get a quote from GetSure

>The average cost for a $10,000 final expense policy can be around $80/month.",,,
Policy,3/3,What should I consider in naming beneficiaries? ,,,,,
Policy,3/3,How much coverage should you buy?,"Customer expecting us to inflate this amount, so find reasons to talk this number down",">Step 1: Calculate Household Expenses
To estimate your family’s expenses, take the amount of a normal month’s expenses (include utilities, car expenses, house payments, food and transportation, insurance fees, etc.) and multiply the total by three. This will be about what your family needs to survive for a few months. So, if your total monthly expenses are $3,000, then your amount for family expenses will be $9,000 ($3,000 x 3 = $9,000). 

>Step 2: Consider Funeral Expenses
Funeral expenses are dictated by what type of services you choose. See this list to help get an accurate estimate of the typical funeral-related expenses. We can assume, at this moment, that your expenses will average $10,000.

>Step 3: Add to Get Total Final Expenses
Next, add the above numbers together. In this case, it’s $9,000 (family expenses) + $10,000 (funeral expenses) = $19,000. So, this $19,000 would be the minimum coverage needed to account for both of these expenses.     

>Step 4: Keep Inflation in Mind
Finally, there’s an inflation factor that varies for men and women. This factor depends on your age range. For example, for men ages 63-65, the multiplier is 1.83. So, you’d multiply 1.83 by the total you had from Step 3 for the total estimated cost.  
",,,
Policy,3/3,Are Final Expense Policies renewable?,,">Final expense insurance can be a form of permanent life insurance, meaning, in most cases, it does not expire unless you stop paying your premiums. Though, it is possible to purchase final expense insurance for only a set term. If you choose a term-based plan, once that term ends, you will need to purchase a new plan to continue coverage.",,,
Policy,3/3,Can my final expense policy expire?,,">If you purchase a final expense policy that is considered “permanent”, it will never expire.

>If the policy you choose to purchase is only set for a specific term, it will eventually expire.

>Most choose permenent option
",,,
Policy,3/3,How do Final Expense payouts work?,,">All life insurance policies provide a death benefit, or payout when the policyholder is no longer living. This money will then go towards the policyholder’s desired expenses and beneficiaries.
",,,
Policy,3/3,What can you use the payout for?,,">There are virtually no limitations a plan can enforce on what you can put this money towards. However, the amount you set for the payout will greatly determine what you can really use it for. These can potentially include:
           Funeral Expenses
           Medical Bills
           Financial Support for Loved Ones
           Personal Loans
           Inheritance
           Business Partner Shares
           Estate Taxes, and More
",,,
Policy,3/3,Are there limitations of the Final Expense Death Benefit?***,,,,,
Policy,3/3,What is a cash value?,,">A cash value is a feature present in whole life insurance policies. Term life insurance policies do not have a cash value. The cash value builds because it operates like a savings account within the policy.

>To calculate the cash value, subtract the cost of insurance and other insurance costs from the total amount of premiums paid.",x,,
Policy,3/3,Does Final Expense have a cash value?,,">Final expense insurance does allow for a cash value to build because it’s a form of a whole life insurance policy. 

>However, the savings must accrue, and there are some things to keep in mind when you want to borrow against the cash value.
",,,
Policy,3/3,How can I use the cash value?,,">You can use the cash value for any number of things, but people usually use it to pay medical debts or make premium payments.
This can be done in a couple of different ways – first, you can surrender part of your policy, but that will cut into your death benefit. Another way is to take out a policy loan.

>A cash value is part of what makes final expense insurance even more well-rounded as a great insurance option.",,,
Policy,3/3,Can the cash value impact the death benefit?,,">Borrowing against the cash value via policy loan can reduce your death benefit. 

>The downside here is that when you’re taking a loan, you have to pay it back. This isn’t usually an impossible task, but when you make payment plans, you’re paying back the amount you were loaned plus interest. In some cases, the interest rate can be up to 8%. 

>If you have an outstanding balance by the time you pass away, the amount you owe will be deducted from the death benefit.
",,,
Policy,3/3,How often do I need to pay premiums?,,">You can often pay them monthly, quarterly, semi-annually, or annually, based on your preference. ",,,
Policy,3/3,Can I make my payments online? (Website portal?),,,,,
Policy,3/3,How do I log in to the Member Website? (RNoA),,,,,
Policy,3/3,How do I change the mode of payment?,,,,,
Policy,3/3,5. What if my premiums are paid through the Electronic Funds Transfer plan (EFT) and I change banks?,,,,,
Policy,3/3,How do I cancel my Electronic Funds Transfer (EFT) plan account?,,,,,
Policy,3/3,How can I change my beneficiary designation?,,,,,
Policy,3/3,Will my premiums change over time?,,">With most term life insurance policies, your premium will stay the same for the entire term length

>A permanent life insurance policy provides coverage for your entire lifetime, and your premiums stay the same throughout the policy, but universal life insurance premiums can fluctuate.",,,
Policy,3/3,What if I outlive my coverage?,,"With permanent life insurance, your policy is effective for your entire lifetime, so you’ll never outlive your coverage. With term life insurance, your policy covers you during the years when you need it most, which is why it’s so affordable — but that also means you may outlive your policy.",,,
Policy,3/3,What are my rights as a policyholder?,,">As a life insurance policyholder, you have certain rights. Some of those rights include the:
     Ability to change a beneficiary.
     Right to cancel or surrender your policy.
     Right to transfer ownership.
     Right to change certain policy provisions.

>Your rights as a policyholder depend on your policy.
",,,
Policy,3/3,Are there exclusions to my insurance policy?,,">Your life insurance policy is a legal document, so it does come along with some fine print detailing specific clauses and exclusions for your policy. These typically vary from plan to plan. Exclusion clauses are designed to protect you, your family, and the insurance company. Here are some examples of the various clauses you may find in a life insurance policy:

>Clauses That Help Protect You Include:
Free look period. This allows you to return your policy for a full refund within a specific period of time (typically 30 days).
Grace period clause. This keeps the policy active for a certain period (usually 31 days, but this varies by state) if you need extra time to pay your premiums. The policy can be terminated if the grace period ends and no payments are made.
Beneficiary clause. You have the right to decide who receives your death benefit.
Survivorship clause. You can require that beneficiaries outlive you for a certain period before getting a payout.
Spendthrift clause. If your beneficiary is in debt, this clause protects the policy payout from being claimed by creditors before the beneficiary receives the benefit.

>Clauses That Help Protect the Life Insurance Company Include:
Entire contract clause. If policyowners make any false statements on the application, the insurer can terminate the contract and deny coverage.
Misstatement of age clause. If policyowners lie about their age during the application process, the insurer can increase premiums, adjust the benefit amount, or terminate the policy.
Suicide clause. This clause states that insurers do not have to pay out if the policyowner dies by suicide, sometimes within a specified period. In this case, the insurer usually returns all premiums paid to the policyowner’s family.
Reinstatement clause. If a policy is terminated due to the policyowner falling behind on payments, you can reactivate by paying all outstanding premiums owed, plus interest. However, you may have to prove your insurability first.
",,,
Rider,3/3,Can you have riders with Final Expense?,,">Including riders is an excellent way to customize your insurance policy and tailor it to your needs. If you’re not sure whether it’s possible to add a rider to your final expense policy, know that it can be an excellent option and save money in the future.
",,,
Rider,3/3,Why should I add a Rider?,,">Adding a rider to your final expense policy can provide for different circumstances and eliminate the need for additional insurance policies. Adding a rider is one of the best ways to prepare for multiple situations and be sure you’re covered.  
",,,
Rider,3/3,What are the different kinds of Riders?,,">Depending on the policy you purchase, there maybe great riders that may suit your needs.  Here are some examples of Riders...
     Child Insurance Rider
     Accelerated Death Benefit
     Long-term Care Rider
     Term Conversion Rider
     Accidental Death Benefit",,,
Rider,3/3,What is Child Insurance Rider? (Living Benefit Rider),,">Child insurance riders have a death benefit that ranges from $5,000 to $25,000. When you’re grieving this loss, the last thing you need is your debt adding complications. 

>To purchase this rider, your child has their own criteria to meet. A pre-existing condition may make this rider sound like a necessity, but in reality, a child with a pre-existing condition disqualifies you from adding a child insurance rider to your plan. Your child must also be between the ages of 15 days to 18 years old. They can be covered under this plan until they are 25 years old. Also, note that this policy only covers your children – not your grandchildren.",,,
Rider,3/3,What is Accelerated Death Benefit Rider?,,">The accelerated death benefit is for those who are terminally ill. If you are critically ill and, depending on your specific policy, determined to live no longer than six months to two years. This rider can allow you to cover your medical expenses. 

>The Accelerated Death Benefit (in most cases) is not taxed as income. The downside is that it’s going to reduce the death benefit for your beneficiaries. Getting this also requires proof that you will not live past six months to two years.
",,,
Rider,3/3,What is a Long-term Care Rider?,,">The long-term care rider is similar in concept to the accelerated death benefit. With this one, the idea behind it isn’t based on having a short amount of time to live. In this case, those who require daily care are ideal candidates for this insurance rider. 

>For instance, someone who has Alzheimer’s and requires daily assistance from health aides. This is a living benefit. It can be borrowed against, which is very useful because long-term care is a substantial expense to cover. For example, a year of having someone take care of you in your home will cost you $52,624.
",,,
Rider,3/3,What is a Term conversion Rider?,,">Term conversion allows you to convert a term life insurance policy into a permanent one. The incentive behind this is that you can make the switch without being subject to a medical exam. And since you will no longer be on the term policy, this also means that you no longer have to worry about outliving your policy and losing out on your death benefit.
",,,
Rider,3/3,What is the Waiver of Premium Rider?,,"> You can only obtain the waiver of the premium rider while your policy is still in effect. This will become useful should you become critically ill, seriously injured, or become disabled. If any of this happens to you, you will not have to pay a premium to keep your policy.
",,,
Rider,3/3,What is Accidental Death Benefit?,,">An accidental death benefit rider is an optional feature you can add to a term life or whole life insurance policy. This rider gives your loved ones access to a larger cash payment, or “death benefit,” if you die in a covered accident. That means that if you pass away unexpectedly from a covered accident, your family will still be protected financially.

>In some cases, an accidental death rider, or accidental death and dismemberment (AD&D) rider, may cover major non-fatal injuries that prevent you from working. This depends on the rider, however. Your life insurance agent can help you understand what the accidental death and dismemberment rider covers, so you can make the right choice for you and your family.",,,
Underwriting,3/3,What is the process of underwriting?,,,,,
Underwriting,3/3,How long does insurance underwriting take?,,,,,
Underwriting,3/3,How long does it take for the underwriter to make a decision?,,,,,
